0.295522 7.58904   20.94    -0.234178   3.4
0.985821 7.79329   39.95    -1.95065    3.29
1.62537  8.47973   51.54    -1.68024    2.96
2.18881  9.15955   67.92    5.43454     3.45
3.17687  9.76846   80.22    13.5993     2.93
3.76791  9.48569   83.33    18.0705     3.08
4.35896  8.74732   91.38    21.8567     2.83
4.8903   7.95629   101.65   24.2219     5.4
6.19403  6.20847   104.77   27.7912     4.21
7.16418  5.25717   108.62   29.5757     2.1
8.0597   4.68539   108.48   30.9882     2.1
8.95522  4.27244   108.73   33.3072     2.1
9.85075  3.43065   110.24   36.6602     2.1
10.7463  1.87414   110.63   38.4926     2.33
11.6418  0.66706   111.52   36.585      4.74
