0.17069    3.53707   25.81    -1.34586   5.54
0.512069   4.03218   63.14    -3.60897   4.02
0.853448   4.80899   88.79    -5.43247   3.98
1.19483    5.86751   118.89   -6.37706   9.48
1.53621    6.75684   116.06   -5.77815   2.26
1.87759    7.50929   127.75   -1.61714   2.62
2.21897    7.72679   135.88   6.71423    2.8
2.56034    7.79803   140.     8.8814     3.16
2.90172    8.19568   144.13   11.4071    2.33
3.2431     8.44312   153.73   15.0866    2.92
3.58448    8.38166   150.78   18.7424    3.08
3.92586    7.73976   160.02   22.3997    3.01
4.26724    6.62754   161.4    24.5162    2.14
4.66724    5.80733   169.09   26.0432    10.14
5.43103    4.14981   159.5    29.4017    2.04
