0.27931    9.14305   15.76    1.07424   3.87
0.837931   8.9123    42.49    2.46665   4.93
1.39655    8.75228   70.03    3.27774   10.44
1.95517    8.66275   105.83   3.68792   4.
2.51379    8.64403   118.54   3.84641   4.
3.07241    8.69604   126.9    3.88202   3.08
3.63103    8.81861   140.32   4.1325    4.
4.18966    9.00001   144.27   5.44853   4.02
4.74828    9.09676   155.65   7.01228   5.36
5.3069     9.19495   149.54   8.38873   5.41
5.86552    9.29563   150.65   9.76333   7.06
6.42414    9.40034   155.02   11.1443   4.66
6.98276    9.51116   166.94   12.5646   6.
7.54138    9.62647   167.37   14.0251   2.63
8.1        9.74586   163.17   15.4947   3.32
8.65862    9.89069   164.38   16.9319   2.43
9.21724    10.0609   160.2    18.5489   5.7
9.77586    10.2493   164.47   20.3382   3.79
10.3345    10.4562   172.81   22.3449   8.51
10.8931    10.6663   165.95   24.5708   2.
15.3621    11.3032   163.72   52.6146   10.79
15.9207    10.7869   173.94   56.4422   2.
18.6207    6.81669   176.44   67.7037   2.8
20.6897    4.2309    182.08   68.486    2.31
22.7586    2.37977   184.16   66.5516   2.07
24.8276    1.2192    183.3    62.8426   2.05
