0.347368   3.4723    20.88    -0.813067   9.81
1.04211    3.50686   61.73    -2.48381    8.19
1.56316    3.57333   81.26    -3.69901    4.32
3.62105    4.04191   124.02   -7.34289    3.41
4.98246    4.42132   156.15   -9.31053    7.02
6.46667    5.10939   166.47   -10.7933    6.34
7.98947    6.01784   165.26   -5.73686    12.05
8.91228    6.38245   173.99   9.56049     4.84
10.1018    6.58873   164.38   17.7079     5.86
10.9965    6.53136   175.97   22.4891     7.35
13.3193    5.92514   174.02   31.6324     3.28
14.7368    5.41066   167.69   35.2506     2.23
15.9649    4.92757   166.39   37.8353     2.23
17.193     4.49278   167.05   39.7589     4.59
18.4211    4.058     166.57   41.3701     5.3
19.6491    3.67152   165.26   42.479      3.48
20.8772    3.33335   164.83   43.2492     3.12
22.1053    3.09181   164.98   43.7767     2.39
23.3333    2.94688   164.6    44.6902     2.23
24.5614    2.75364   162.77   46.2975     2.23
25.7895    2.51209   162.08   47.9662     2.23
27.0175    2.22224   162.23   49.6384     2.23
28.2456    1.83576   161.54   51.024      2.23
29.4737    1.34984   160.18   52.0913     2.23
